transactId, softwareName, softwareId, date
'-500934844','Windows Server 2003 Enterprise Edition (Polish)','743676536','2007-01-11 17:42'
'17995341','Windows Vista Business DVD','-792316006','2007-01-28 21:41'
'-464569043','IT Academy Course: Windows Server','125214220','2008-11-28 20:31'
'-464569043','Virtual PC 2007','212031266','2008-12-04 19:03'
'-464569043','Windows 7 Language Pack (x86) - DVD (Multilanguage)','-77714849','2009-10-06 17:56'
'-464569043','Windows 7 Professional (x86) - DVD (English)','851167261','2009-10-08 20:49'
'-464569043','Windows Vista Business DVD (Polish)','862081786','2008-03-14 19:46'
'-464569043','Windows XP Professional (Single User) ISO Image (Polish)','-717994646','2007-01-16 19:51'
'-464569043','Windows 7 Language Pack (x86) - DVD (Multilanguage)','-77714849','2009-10-06 17:56'
'-464569043','Windows 7 Professional (x64) - DVD (English)','-619337823','2010-03-30 15:53'
'-464569043','Windows 7 Professional (x86) - DVD (English)','851167261','2009-10-08 20:49'
'102888644','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-10-25 13:39'
'102888644','Visio Professional 2007 (Polish)','1031840846','2010-03-14 14:12'
'102888644','Visual Studio 2005 Professional Edition CD1','53593363','2010-09-26 17:45'
'102888644','Visual Studio 2005 Professional Edition CD2','53593364','2010-09-26 17:45'
'102888644','Visual Studio 2008 SP1','227686903','2010-09-26 14:31'
'102888644','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-10-25 13:39'
'102888644','Windows 7 Professional (x86) - DVD (Polish)','818369156','2010-04-13 10:13'
'776366589','AutoCollage 2008 Academic Edition v1.1 - (English)','25221680','2009-12-13 18:00'
'776366589','Desktop Optimization Pack 2007','-679240159','2009-12-13 18:00'
'776366589','Visio Professional 2003','-1028479386','2009-10-17 18:45'
'776366589','Visio Professional 2007 (Polish)','1031840846','2009-12-13 15:23'
'776366589','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-10-17 18:45'
'776366589','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-10-15 13:47'
'776366589','AutoCollage 2008 Academic Edition v1.1 - (English)','25221680','2009-12-13 18:00'
'776366589','Desktop Optimization Pack 2007','-679240159','2009-12-13 18:00'
'776366589','Visio Professional 2003','-1028479386','2009-10-17 18:45'
'776366589','Visio Professional 2007 (Polish)','1031840846','2009-12-13 15:23'
'776366589','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-10-17 18:45'
'776366589','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-10-15 13:47'
'388434678','Visio Professional 2007 (Polish)','1031840846','2010-04-25 20:43'
'388434678','Windows 7 Professional (x86) - DVD (Polish)','818369156','2010-04-25 20:20'
'-249401773','Visual Studio 2008 Express Edition with SP1','-834545950','2010-11-04 17:54'
'-249401773','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2010-11-04 17:54'
'-249401773','Windows 7 Professional (x64) - DVD (Polish)','543773184','2010-06-21 12:51'
'-249401773','Windows 7 Professional (x86) - DVD (Polish)','818369156','2010-07-12 18:49'
'234229619','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-10-22 10:40'
'234229619','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-10-22 10:40'
'-1010599445','Visual Studio 2005 Professional Edition CD1','53593363','2007-02-26 16:19'
'-1010599445','Visual Studio 2005 Professional Edition CD2','53593364','2007-02-26 16:19'
'-1010599445','Windows Vista Business 64bit DVD (Polish)','460205788','2008-07-31 18:38'
'-1010599445','Windows Vista Business DVD (Polish)','862081786','2007-12-11 13:32'
'-1010599445','Windows XP Professional (Single User)','-395031122','2008-09-02 12:40'
'-1010599445','Windows XP Professional (Single User) ISO Image (Polish)','-717994646','2007-02-26 15:43'
'-1010599445','Windows XP Professional with SP2 (Single User) ISO Image','885573206','2008-08-31 14:47'
'-1010599445','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2008-09-02 12:41'
'-25111793','Virtual PC 2007 64bit','912047082','2010-09-27 16:07'
'-25111793','Visual C++ 2005 Express Edition','336690434','2010-09-27 16:16'
'-25111793','Visual Studio .NET 2003 Professional - Full Install','-68124807','2010-10-05 11:20'
'-25111793','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2010-03-02 17:45'
'-25111793','Windows Server 2003 Enterprise Edition (Polish)','743676536','2010-09-27 16:03'
'-25111793','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2010-02-15 19:15'
'-346677682','Expression Studio 4 Ultimate (x86) - DVD (English)','548870084','2010-07-09 12:16'
'-346677682','Microsoft Desktop Optimization Pack 2009 R2 (x86 and x64) - DVD (English)','1025503277','2010-10-28 21:12'
'-346677682','OneNote 2003 (Polish)','-91078081','2010-06-24 08:34'
'-346677682','Visual Studio 2010 Ultimate (x86) - DVD (English)','114149812','2010-07-09 12:55'
'-346677682','Windows 7 Professional (x64) - DVD (Polish)','543773184','2010-06-29 16:28'
'-346677682','Windows Hardware Compatibility Test Kit Version 11.0','-1066372374','2010-06-24 08:47'
'1062325776','Visio Professional 2003','-1028479386','2008-05-28 17:10'
'-959139232','SQL Server 2005 Standard Edition - 32-bit - DVD','466015314','2009-10-15 02:12'
'-959139232','SQL Server 2008 Enterprise (x86 and x64) - DVD','149258206','2009-10-29 15:29'
'-959139232','Windows 7 Professional (x86) - DVD (English)','851167261','2009-10-29 02:15'
'-959139232','Windows 7 Professional (x86) - DVD (Polish)','818369156','2009-10-27 16:25'
'-959139232','Windows XP Professional (Single User) 64bit Edition','839337558','2008-01-02 14:49'
'-959139232','Windows XP Professional with SP3 (Single User) ISO Image','478464551','2009-12-11 19:10'
'-959139232','Windows XP Service Pack 3 (x86) - CD (English)','275305991','2009-12-09 11:39'
'-959139232','SQL Server 2005 Standard Edition - 32-bit - DVD','466015314','2009-10-15 02:12'
'-959139232','SQL Server 2008 Enterprise (x86 and x64) - DVD','149258206','2009-10-29 15:29'
'-959139232','Windows 7 Professional (x86) - DVD (English)','851167261','2009-10-29 02:15'
'-959139232','Windows 7 Professional (x86) - DVD (Polish)','818369156','2009-10-27 16:25'
'-959139232','Windows XP Professional with SP3 (Single User) ISO Image','478464551','2009-12-11 19:10'
'-959139232','Windows XP Service Pack 3 (x86) - CD (English)','275305991','2009-12-09 11:39'
'-529663822','MSDN Library for Visual Studio 2005 - CD1','832017012','2007-12-01 13:19'
'-529663822','MSDN Library for Visual Studio 2005 - CD2','832017013','2007-12-01 13:20'
'-529663822','MSDN Library for Visual Studio 2005 - CD3','832017014','2007-12-01 13:20'
'-529663822','Visual Studio 2005 Professional Edition CD1','53593363','2007-11-18 20:10'
'-529663822','Visual Studio 2005 Professional Edition CD2','53593364','2007-11-18 20:10'
'-529663822','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2007-12-12 20:43'
'-529663822','Windows Vista Business DVD (Polish)','862081786','2007-12-10 21:15'
'-529663822','Windows XP Professional (Single User) 64bit Edition','839337558','2007-11-18 20:10'
'-529663822','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2007-12-01 12:56'
'750469245','MS-DOS 6.0','534781756','2008-12-26 15:10'
'750469245','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2008-12-24 09:47'
'750469245','Visual Studio 2008 SP1','227686903','2008-12-26 15:10'
'750469245','Windows XP Multilingual User Interface Pack (Multi-Language)','-14928336','2009-11-30 18:28'
'750469245','Windows XP Professional (Single User) 64bit Edition','839337558','2009-11-30 17:08'
'750469245','Visual Studio 2010 Ultimate (x86) - DVD (English)','114149812','2010-08-22 15:13'
'750469245','Windows 7 Professional (x86) - DVD (Polish)','818369156','2010-08-24 23:54'
'750469245','Windows XP Multilingual User Interface Pack (Multi-Language)','-14928336','2009-11-30 18:28'
'750469245','Windows XP Professional (Single User) 64bit Edition','839337558','2009-11-30 17:08'
'-684708211','Expression Blend 2','852723393','2008-11-24 21:57'
'-684708211','IT Academy Course: Web Developer','-375283407','2008-11-28 18:46'
'-684708211','IT Academy Course: Windows Client','-746540964','2008-11-28 18:48'
'-684708211','IT Academy Course: Windows Developer','61219031','2008-11-28 18:49'
'-684708211','IT Academy Course: Windows Server','125214220','2008-11-28 18:50'
'-684708211','MapPoint 2006 European - DVD','679643643','2008-11-24 22:54'
'-684708211','SQL Server 2000 Enterprise Edition','317848302','2008-11-24 21:59'
'-684708211','SQL Server 2000 SP3a','902148953','2008-11-24 22:00'
'-684708211','SQL Server 2005 Developer Edition - DVD','74174484','2008-11-24 22:03'
'-684708211','SQL Server 2005 Express Edition','-827576414','2008-11-24 22:05'
'-684708211','SQL Server 2005 Standard Edition - 32-bit - DVD','466015314','2008-11-24 22:06'
'-684708211','SQL Server 2005 Workgroup Edition - 32-bit - DVD','19137414','2008-11-24 22:09'
'-684708211','Virtual PC 2007','212031266','2008-11-24 22:12'
'-684708211','Visio for Enterprise Architects','-858794993','2008-11-24 22:21'
'-684708211','Visio Professional 2007 (Polish)','1031840846','2008-11-24 22:16'
'-684708211','Visual Basic 6.0 Enterprise Edition - Disc 1','349699779','2008-11-25 12:57'
'-684708211','Visual Basic 6.0 Enterprise Edition - Disc 2','349699780','2008-11-25 12:58'
'-684708211','Visual C# 2005 Express Edition','343262486','2008-11-24 22:35'
'-684708211','Visual C++ 2005 Express Edition','336690434','2008-11-24 22:36'
'-684708211','Visual J# .NET','866629689','2008-11-24 22:37'
'-684708211','Visual Studio .NET Professional 2002 (Full)','927045405','2008-11-24 22:39'
'-684708211','Visual Studio 2008 SP1','227686903','2008-11-24 22:41'
'-684708211','Visual Web Developer 2005 Express Edition','231127434','2008-11-24 22:43'
'-684708211','Windows Server 2003 Enterprise Edition (Polish)','743676536','2008-11-24 21:46'
'-684708211','Windows Server 2003 R2 Enterprise Edition with SP2 - Disc 1 (Polish)','-183393027','2009-06-04 19:44'
'-684708211','Windows Server 2003 R2 Enterprise Edition with SP2 - Disc 2 (Polish)','603135310','2009-06-04 19:46'
'-684708211','Windows Server 2003 Standard Edition','214372448','2008-11-24 22:45'
'-684708211','Windows Server 2003 Standard Edition with SP1','321330240','2008-11-24 22:46'
'-684708211','Windows Server 2003 Web Edition','-395995823','2008-11-24 22:49'
'-684708211','Windows Server 2008 Enterprise and Standard - DVD','-305993218','2008-11-24 21:52'
'-684708211','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2008-11-24 22:52'
'-684708211','Windows XP Professional with SP3 (Single User) ISO Image','478464551','2009-01-09 20:24'
'-684708211','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-06-04 19:40'
'-684708211','Windows Server 2003 R2 Enterprise Edition with SP2 - Disc 1 (Polish)','-183393027','2009-06-04 19:44'
'-684708211','Windows Server 2003 R2 Enterprise Edition with SP2 - Disc 2 (Polish)','603135310','2009-06-04 19:46'
'-684708211','Windows XP Professional with SP3 (Single User) ISO Image','478464551','2009-01-09 20:24'
'-684708211','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-06-04 19:40'
'613716644','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2008-12-20 21:40'
'-26155874','Windows 7 Professional (x64) - DVD (Polish)','543773184','2010-10-22 11:36'
'-26155874','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2010-10-22 13:33'
'444900662','Access 2003','-188809638','2007-03-14 16:23'
'444900662','Project Professional 2003','635651466','2007-03-13 19:24'
'444900662','Visio Professional 2003','-1028479386','2007-03-13 19:24'
'444900662','Windows XP Professional (Single User) ISO Image (Polish)','-717994646','2007-03-13 15:50'
'701926634','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-10-22 17:45'
'701926634','Windows Vista Business 64bit DVD (Polish)','460205788','2008-10-30 17:06'
'701926634','Windows Vista Business DVD (Polish)','862081786','2008-10-30 22:47'
'701926634','Windows XP Professional (Single User) 64bit Edition','839337558','2008-10-30 17:06'
'701926634','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2008-12-05 15:29'
'701926634','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-10-22 17:45'
'1069715644','Visual Studio .NET Professional 2003 CD1 ISO','-197967588','2007-05-23 20:37'
'1069715644','Visual Studio .NET Professional 2003 CD2 ISO','842990357','2007-05-23 20:39'
'1069715644','Windows XP Professional (Single User) ISO Image (Polish)','-717994646','2007-03-16 17:38'
'-1066676754','Visual C# 2005 Express Edition','343262486','2008-12-15 13:28'
'-1066676754','Visual Studio 2008 Express Edition with SP1','-834545950','2009-02-23 21:33'
'-1066676754','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-03-25 18:22'
'-1066676754','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-11-03 17:23'
'-1066676754','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2008-12-10 10:27'
'-1066676754','Visual Studio 2008 Express Edition with SP1','-834545950','2009-02-23 21:33'
'-1066676754','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-03-25 18:22'
'-1066676754','Windows 7 Language Pack (x64) - DVD (Multilanguage)','-233012253','2010-12-08 15:31'
'-1066676754','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-11-03 17:23'
'-1066676754','Windows 7 Professional (x86) - DVD (Polish)','818369156','2010-12-08 15:32'
'-1066676754','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2010-12-08 15:26'
'-1019560118','Visio Professional 2007','-1028479382','2007-06-30 16:31'
'548560908','Windows Vista Business DVD','-792316006','2007-02-01 23:58'
'548560908','Windows XP Professional (Single User) ISO Image (Polish)','-717994646','2007-01-04 00:09'
'750364527','Project Professional 2003','635651466','2009-05-14 17:31'
'750364527','Windows 7 Professional (x86) - DVD (Polish)','818369156','2009-11-06 20:31'
'750364527','Windows Server 2003 Enterprise Edition (Polish)','743676536','2009-05-14 17:31'
'750364527','Windows XP Professional with SP1a (Single User) ISO Image','-997059815','2009-11-05 16:02'
'750364527','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2009-11-06 20:31'
'750364527','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-05-14 17:31'
'750364527','Project Professional 2003','635651466','2009-05-14 17:31'
'750364527','Windows 7 Professional (x86) - DVD (Polish)','818369156','2009-11-06 20:31'
'750364527','Windows Embedded CE 6.0 DVD','-39047542','2010-06-02 12:14'
'750364527','Windows Server 2003 Enterprise Edition (Polish)','743676536','2009-05-14 17:31'
'750364527','Windows XP Professional (Single User) 64bit Edition','839337558','2010-12-15 23:26'
'750364527','Windows XP Professional with SP1a (Single User) ISO Image','-997059815','2009-11-05 16:02'
'750364527','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2009-11-06 20:31'
'750364527','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-05-14 17:31'
'356816757','Project Professional 2003','635651466','2009-11-16 02:47'
'356816757','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-11-16 02:40'
'356816757','Project Professional 2003','635651466','2009-11-16 02:47'
'356816757','Windows 7 Professional (x64) - DVD (Polish)','543773184','2010-12-09 21:07'
'356816757','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-11-16 02:40'
'1030651065','Windows 7 Professional (x64) - DVD (Polish)','543773184','2010-10-26 13:58'
'-1053986756','Access 2003 (Polish)','-161877985','2008-06-13 13:17'
'-1053986756','Access 2007 (Polish)','970969443','2008-06-13 13:17'
'-1053986756','MS-DOS 6.0','534781756','2008-06-13 14:09'
'-1053986756','OneNote 2007 (Polish)','1041769347','2008-06-13 13:48'
'-1053986756','Project Professional 2003','635651466','2008-06-13 13:17'
'-1053986756','Project Professional 2007 (Polish)','41195903','2008-06-13 13:17'
'-1053986756','Visio Professional 2003','-1028479386','2008-06-13 13:54'
'-1053986756','Visio Professional 2007 (Polish)','1031840846','2008-06-13 13:54'
'-1053986756','Windows Vista Business DVD (Polish)','862081786','2008-06-16 13:30'
'-1053986756','Windows Vista Service Pack 1 (32bit- 64bit) - DVD','980440674','2008-06-16 13:32'
'-1053986756','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2008-06-13 13:05'
'911037802','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-11-30 09:50'
'911037802','Visual Studio 2008 SP1','227686903','2010-09-29 10:37'
'911037802','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-11-30 09:50'
'-499363499','Access 2007 (Polish)','970969443','2009-10-10 00:13'
'-499363499','Expression Studio 3 (x86) - DVD (English)','-987888945','2009-10-21 17:32'
'-499363499','IT Academy Course: Web Developer','-375283407','2009-11-14 11:32'
'-499363499','Visio Professional 2007 (Polish)','1031840846','2009-11-14 11:32'
'-499363499','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-10-10 00:15'
'-499363499','Windows 7 Language Pack (x86) - DVD (Multilanguage)','-77714849','2009-10-09 17:20'
'-499363499','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-12-01 21:38'
'-499363499','Windows 7 Professional (x86) - DVD (English)','851167261','2009-10-09 16:48'
'-499363499','Windows 7 Professional (x86) - DVD (Polish)','818369156','2009-10-21 17:32'
'-499363499','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-10-07 19:49'
'-499363499','Access 2007 (Polish)','970969443','2009-10-10 00:13'
'-499363499','Expression Studio 3 (x86) - DVD (English)','-987888945','2009-10-21 17:32'
'-499363499','Expression Studio 4 Ultimate (x86) - DVD (English)','548870084','2010-10-15 18:05'
'-499363499','IT Academy Course: Web Developer','-375283407','2009-11-14 11:32'
'-499363499','Visio Professional 2007 (Polish)','1031840846','2009-11-14 11:32'
'-499363499','Visio Professional 2010 (x64) - (Polish)','628062810','2010-12-20 16:25'
'-499363499','Visual Studio .NET 2003 Professional - Full Install','-68124807','2010-10-07 13:07'
'-499363499','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-10-10 00:15'
'-499363499','Visual Studio 2010 Ultimate (x86) - DVD (English)','114149812','2010-11-21 11:11'
'-499363499','Windows 7 Language Pack (x86) - DVD (Multilanguage)','-77714849','2009-10-09 17:20'
'-499363499','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-12-01 21:38'
'-499363499','Windows 7 Professional (x86) - DVD (English)','851167261','2009-10-09 16:48'
'-499363499','Windows 7 Professional (x86) - DVD (Polish)','818369156','2009-10-21 17:32'
'-499363499','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-10-07 19:49'
'-175896481','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-11-30 20:05'
'-175896481','Windows 7 Professional (x64) - DVD (Polish)','543773184','2009-11-30 20:05'
'-530991325','Visio Professional 2007','-1028479382','2009-12-16 09:57'
'-530991325','Visio Professional 2007 (Polish)','1031840846','2009-12-14 23:45'
'-530991325','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-09-17 11:47'
'-530991325','Windows 7 Professional (x86) - DVD (English)','851167261','2009-08-19 20:14'
'-530991325','Windows Server 2008 Enterprise and Standard - DVD','-305993218','2009-01-12 19:29'
'-530991325','Windows Server 2008 Enterprise and Standard 64bit - DVD','-694511639','2009-08-19 20:14'
'-530991325','Windows Server 2008 R2 Standard- Enterprise, Datacenter, and Web (x64) - DVD (English)','261550583','2009-09-18 12:13'
'-530991325','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-10-23 12:55'
'-530991325','OneNote 2010 (x86 and x64) - DVD (Polish)','-903507731','2010-12-08 14:21'
'-530991325','OneNote 2010 (x86) - (Polish)','-264300893','2010-12-08 14:21'
'-530991325','SharePoint Server 2010 (x64) - DVD (English)','520591638','2010-11-29 19:52'
'-530991325','Visio Professional 2007','-1028479382','2009-12-16 09:57'
'-530991325','Visio Professional 2007 (Polish)','1031840846','2009-12-14 23:45'
'-530991325','Visio Professional 2010 (x64) - (Polish)','628062810','2010-12-07 11:06'
'-530991325','Visio Professional 2010 (x86 and x64) - DVD (Polish)','-687607727','2010-12-07 16:31'
'-530991325','Visio Professional 2010 (x86) - (Polish)','527466206','2010-11-16 16:00'
'-530991325','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-09-17 11:47'
'-530991325','Windows 7 Professional (x86) - DVD (English)','851167261','2009-08-19 20:14'
'-530991325','Windows Server 2008 Enterprise and Standard - DVD','-305993218','2009-01-12 19:29'
'-530991325','Windows Server 2008 Enterprise and Standard 64bit - DVD','-694511639','2009-08-19 20:14'
'-530991325','Windows Server 2008 R2 Standard- Enterprise, Datacenter, and Web (x64) - DVD (English)','261550583','2009-09-18 12:13'
'-530991325','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-10-23 12:55'
'833563018','Visual Studio 2008 Express Edition with SP1','-834545950','2009-07-30 00:41'
'833563018','Windows XP Professional (Single User) 64bit Edition','839337558','2008-02-09 23:36'
'833563018','Windows XP Professional (Single User) ISO Image (Polish)','-717994646','2008-02-09 23:36'
'833563018','Windows XP Professional with SP2 (Single User) ISO Image (Polish)','464968375','2007-10-19 11:24'
'833563018','Windows XP Professional with SP3 (Single User) ISO Image','478464551','2008-10-20 21:23'
'833563018','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-02-01 12:48'
'833563018','Visual Studio 2008 Express Edition with SP1','-834545950','2009-07-30 00:41'
'833563018','Windows 7 Professional (x64) - DVD (Polish)','543773184','2010-02-23 01:43'
'833563018','Windows 7 Professional (x86) - DVD (Polish)','818369156','2010-02-23 01:43'
'833563018','Windows Mobile 5.0 Developer Resource Kit','869078269','2010-02-23 01:49'
'833563018','Windows Mobile 5.0 SDK for Smartphone','-347024690','2010-02-23 01:49'
'833563018','Windows Server 2008 Standard- Enterprise, and Datacenter with Service Pack 2 (x64) - DVD (Polish)','366860307','2010-02-23 01:49'
'833563018','Windows Server 2008 Standard- Enterprise, and Datacenter with Service Pack 2 (x86) - DVD (Polish)','775674007','2010-02-23 01:49'
'833563018','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2009-02-01 12:48'
'833563018','Windows XP Tablet PC Edition 2005- Disc 1','620231334','2010-02-23 01:49'
'833563018','Windows XP Tablet PC Edition 2005- Disc 2','620231335','2010-02-23 01:49'
'997540474','Windows XP Professional (Single User) ISO Image (Polish)','-717994646','2007-12-12 19:55'
'-73018257','Access 2003 (Polish)','-161877985','2009-09-03 12:23'
'-73018257','SQL Server 2008 Enterprise (x86 and x64) - DVD','149258206','2009-10-10 03:02'
'-73018257','Windows 7 Professional (x64) - DVD (English)','-619337823','2009-10-21 18:57'
'-73018257','Windows Vista Business DVD','-792316006','2007-02-23 21:51'
'-73018257','Windows Vista Enterprise with SP1 (x64) - DVD','-838067832','2009-06-17 14:29'
'-73018257','Access 2003 (Polish)','-161877985','2009-09-03 12:23'
'-73018257','SQL Server 2008 Enterprise (x86 and x64) - DVD','149258206','2009-10-10 03:02'
'-73018257','Windows 7 Language Pack (x64) - DVD (Multilanguage)','-233012253','2010-01-05 17:53'
'-73018257','Windows 7 Professional (x64) - DVD (English)','-619337823','2009-10-21 18:57'
'-73018257','Windows 7 Professional (x64) - DVD (Polish)','543773184','2010-01-05 17:56'
'-73018257','Windows Vista Enterprise with SP1 (x64) - DVD','-838067832','2009-06-17 14:29'
'910115634','Access 2007 (Polish)','970969443','2008-05-22 07:58'
'910115634','Expression Studio','-907526141','2007-11-18 22:38'
'910115634','MSDN Library for Visual Studio 2005 - CD1','832017012','2007-11-20 19:54'
'910115634','MSDN Library for Visual Studio 2005 - CD2','832017013','2007-11-20 19:54'
'910115634','MSDN Library for Visual Studio 2005 - CD3','832017014','2007-11-20 19:54'
'910115634','MS-DOS 6.0','534781756','2008-05-23 10:59'
'910115634','MS-DOS 6.22','-144275286','2009-05-29 13:19'
'910115634','SQL Server 2000 SP3a','902148953','2009-04-21 13:48'
'910115634','SQL Server 2005 Developer Edition - 32-bit - CD1','625885749','2008-01-24 21:32'
'910115634','SQL Server 2005 Developer Edition - 32-bit - CD2','625885750','2008-01-24 21:50'
'910115634','SQL Server 2005 Developer Edition - 64-bit Extended - CD1','-771135459','2008-05-26 02:07'
'910115634','SQL Server 2005 Developer Edition - 64-bit Extended - CD2','-771135458','2008-05-26 02:07'
'910115634','SQL Server 2005 Standard Edition - 32-bit - DVD','466015314','2008-02-16 12:58'
'910115634','Visio Professional 2007 (Polish)','1031840846','2008-05-23 11:02'
'910115634','Visual Studio .NET Professional 2003 CD1 ISO','-197967588','2007-11-20 20:03'
